LAMMPS data file — 125 H2O air/water slab  15.5215 × 15.5215 × 46.5646 Å  z_mult=3.0  (generated by build_slab.py)

375 atoms
2 atom types
250 bonds
1 bond types
125 angles
1 angle types

0 15.521529 xlo xhi
0 15.521529 ylo yhi
0 46.564587 zlo zhi

Masses

1 15.9994
2 1.00794

Atoms # full

    73     25 1  -1.1128    13.45100000     3.76000000    24.22152900 0 0 0
    74     25 2   0.5564    13.34700000     4.32200000    23.40152900 0 0 0
    75     25 2   0.5564    13.15700000     2.82500000    24.02552900 0 0 0
    76     26 1  -1.1128     3.19600000    13.12900000    18.83952900 0 0 0
    77     26 2   0.5564     3.91400000    12.86600000    19.48452900 0 0 0
    78     26 2   0.5564     2.68500000    13.90600000    19.20652900 0 0 0
    79     27 1  -1.1128     8.21300000     1.93100000    22.70352900 0 0 0
    80     27 2   0.5564     7.62800000     2.72900000    22.84552900 0 0 0
    81     27 2   0.5564     9.13300000     2.23100000    22.45752900 0 0 0
    82     28 1  -1.1128    12.15000000    13.12900000    22.78152900 0 0 0
    83     28 2   0.5564    11.87900000    14.03900000    23.09752900 0 0 0
    84     28 2   0.5564    13.09600000    13.15500000    22.46152900 0 0 0
    85     29 1  -1.1128     3.46800000     5.67700000    19.54852900 0 0 0
    86     29 2   0.5564     3.80300000     6.39800000    20.15552900 0 0 0
    87     29 2   0.5564     4.11100000     4.91100000    19.55352900 0 0 0
    88     30 1  -1.1128     9.94100000    13.89900000    26.79252900 0 0 0
    89     30 2   0.5564    10.20700000    14.51700000    26.05252900 0 0 0
    90     30 2   0.5564     9.18900000    13.31600000    26.48652900 0 0 0
    91     31 1  -1.1128    12.69000000     5.41500000    27.04752900 0 0 0
    92     31 2   0.5564    13.44900000     6.06300000    26.97852900 0 0 0
    93     31 2   0.5564    12.57700000     4.94000000    26.17552900 0 0 0
    94     32 1  -1.1128     8.98800000    13.09100000    23.12852900 0 0 0
    95     32 2   0.5564     8.80100000    14.06900000    23.23152900 0 0 0
    96     32 2   0.5564     9.97000000    12.95000000    23.00952900 0 0 0
    97     33 1  -1.1128     2.54000000     7.59700000    23.23352900 0 0 0
    98     33 2   0.5564     3.15300000     7.44600000    22.45852900 0 0 0
    99     33 2   0.5564     2.86100000     7.07200000    24.02052900 0 0 0
   100     34 1  -1.1128     9.35800000     0.99800000    28.67952900 0 0 0
   101     34 2   0.5564     9.26600000     1.35800000    27.75152900 0 0 0
   102     34 2   0.5564     8.47300000     1.03700000    29.14252900 0 0 0
   103     35 1  -1.1128     2.97300000     9.48200000    24.80252900 0 0 0
   104     35 2   0.5564     2.24600000     8.87200000    25.11852900 0 0 0
   105     35 2   0.5564     3.80900000     8.95600000    24.65252900 0 0 0
   106     36 1  -1.1128     4.50000000    11.54600000    24.47952900 0 0 0
   107     36 2   0.5564     4.31200000    10.89400000    23.74452900 0 0 0
   108     36 2   0.5564     4.34800000    11.10400000    25.36352900 0 0 0
   109     37 1  -1.1128    12.38200000     9.21900000    29.06852900 0 0 0
   110     37 2   0.5564    12.57900000     9.15800000    30.04752900 0 0 0
   111     37 2   0.5564    11.89100000    10.06800000    28.87952900 0 0 0
   112     38 1  -1.1128     1.00000000     8.31500000    27.19252900 0 0 0
   113     38 2   0.5564     1.35300000     7.39300000    27.03552900 0 0 0
   114     38 2   0.5564     1.58000000     8.78700000    27.85552900 0 0 0
